"","name","meet_year","race_group","class_year","team","meet1","meet2","meet3","Minnesota Intercollegiate Championships"
"870","  Surber, John",2015,"Men","JR","Gustavus Adolphus","27.72166667","28.48833333",28.105,"29.46833333"
"871","  Suttie, Grant",2014,"Men","SO","St. Thomas","28.13333333","27.91333333",28.02333333,"28.195"
"872","  Suttie, Grant",2015,"Men","JR","St. Thomas","30.58333333","27.85",29.25166667,"29.27166667"
"873","  Suttie, Grant",2016,"Men","SR","St. Thomas","29.23333333","28.97833333",29.10583333,"28.215"
"874","  Sweet, Amelia",2016,"Women","FR","Saint Mary's","24.465","26.25",25.3575,"26.19666667"
"875","  Sweet, Theodore",2017,"Men","FR","Saint Mary's","35.05333333","38.22166667",36.6375,"35.29833333"
"876","  Swiggum, Mary ",2012,"Women","JR","St. Olaf","26.50166667","26.16666667",26.33416667,"25.89"
"877","  Tellez, Michelle",2012,"Women","SO","Bethel","25.68333333","26.085",25.884166665,"25.04"
"878","  Terukina, Megan",2012,"Women","FR","St. Thomas","26.725","27.47",27.0975,"25.45"
"879","  Tesema, Micheale",2012,"Men","JR","Augsburg","25.73833333","26.135",25.936666665,"25.49333333"
"880","  Thelen, Kristen",2012,"Women","JR","Saint Mary's","25.555","25.535",25.545,"25"
"881","  Theship-Rosales, Alex",2016,"Men","FR","Gustavus Adolphus","30.65","31.025",29.715,"29.73333333"
"882","  Thiel, Allie ",2012,"Women","FR","Saint Mary's","26.67333333","25.60333333",26.13833333,"25.64333333"
"883","  Thiel, Erica",2016,"Women","SO","Saint Mary's","25.17833333","26.08166667",25.63,"25.12"
"884","  Thiel, Erika",2017,"Women","JR","Saint Mary's","27.20833333","29.22666667",28.2175,"27.12333333"
"885","  Thiel, Gabe ",2012,"Men","FR","Saint Mary's","29.10666667","29.34666667",29.22666667,"27.725"
"886","  Thompson, Annika",2017,"Women","FR","Concordia Moorhead","30.32833333","28.23333333",29.38666667,"27.535"
"887","  Thorp, Olivia",2014,"Women","SO","Macalester","29.54833333","32.08833333",30.81833333,"28.61333333"
"888","  Toner, Caitlin",2014,"Women","SR","Macalester","27.36","26.23",26.795,"24.94666667"
"889","  Torry-Schrag, Elena",2014,"Women","SO","Macalester","26.535","26.38666667",26.460833335,"24.35333333"
"890","  Torry-Schrag, Elena",2016,"Women","SR","Macalester","26.535","24.45166667",25.493333335,"25.74"
"891","  Torstenson, Martha",2015,"Women","SO","Carleton","25.52333333","25.48333333",26.28833333,"26.28833333"
"892","  Torstenson, Martha",2017,"Women","JR","Carleton","25.57833333","27.15833333",25.66666667,"25.605"
"893","  Trapp, Ryan",2015,"Men","JR","St. Thomas","31.65","28.53333333",30.091666665,"29.67666667"
"894","  Traxler, Jake",2012,"Men","SR","Saint Mary's","27.33333333","26.995",27.164166665,"26.30333333"
"895","  Trezona, Allison",2014,"Women","SO","St. Olaf","25.215","24.215",24.715,"23.93166667"
"896","  Trujillo, Claire",2015,"Women","JR","Carleton","23.75","23.95",26.01333333,"24.225"
"897","  Trujillo, Claire",2016,"Women","SR","Carleton","23.63166667","23.32333333",23.525,"23.5"
"898","  Tu, Natalia",2017,"Women","FR","Carleton","25.19333333","26.47666667",25.11666667,"24.785"
"899","  Tucker, Jennifer",2014,"Women","SO","St. Olaf","27.665","26.74",27.2025,"25.47333333"
"900","  Turner, Ryan",2014,"Men","FR","Concordia Moorhead","33.07","30.01666667",31.543333335,"30.94833333"
"901","  Turner, Ryan",2015,"Men","SO","Concordia Moorhead","30.38833333","28.53333333",29.46083333,"28.98"
"902","  Tydings, Clay",2017,"Men","FR","Carleton","28.97333333","29.45333333",29.21333333,"29.60666667"
"903","  Uhrich, Melissa",2012,"Women","FR","Concordia Moorhead","26.875","26.69666667",26.785833335,"26.11666667"
"904","  Uhrich, Melissa",2015,"Women","SR","Concordia Moorhead","25.06166667","25.08333333",25.0725,"25.16"
"905","  Uribe, Elizabeth ",2016,"Women","FR","Gustavus Adolphus","30.66666667","28.06666667",29.36666667,"29.84333333"
"906","  Uribe, Elizabeth ",2017,"Women","SO","Gustavus Adolphus","30.04166667","30.28833333",30.165,"29.62666667"
"907","  Urick, Spencer",2016,"Men","FR","St. Thomas","28.06666667","27.36666667",27.71666667,"27.655"
"908","  Utzschneider, Annie",2017,"Women","JR","Carleton","26.07666667","26.25",25.36333333,"24.16"
"909","  Van Houtan, Jacob",2016,"Men","FR","Augsburg","30.01166667","30.865",30.438333335,"30.01666667"
"910","  Van LaarHoven, Tim",2015,"Men","SO","St. Thomas","28.71666667","27.10666667",27.91166667,"27.66666667"
"911","  Verges, Emma ",2017,"Women","FR","Macalester","28.24333333","29.92",28.52166667,"27.70833333"
"912","  Voit, Taylor",2014,"Men","FR","St. Thomas","29.78333333","29.385",29.584166665,"28.39"
"913","  Vomacka, Betsy",2014,"Women","SR","St. Olaf","28.14","26.925",27.5325,"26.93"
"914","  Votava, Laura",2016,"Women","SO","St. Olaf","29.46","27.93166667",28.695833335,"27.67833333"
